year	age1	age2	age3	age4	age5	age6
2002	41.5	185.2	150.6	29.7	6.6	7.1
2003	13.1	61.7	60.4	17.2	5.4	1.4
2004	NA	NA	NA	NA	NA	NA
2005	64.6	137.1	28.2	54.2	21.6	4.9
2006	21	211	48	14	11	1
2007	106	69.8	220	30.6	8.97	13.1
2008	64	295	111	162	27	6
